Year,Month,Republic of Moldova,France ,Portugal,Luxembourg,Norway,Romania,Japan,Italy,Germany,UK
2014,February,101.3,99.79,98.92,99.75,97.1,100.69,95.5,99.81,94.15,99.1
2014,March,101.6,100.24,100.27,99.74,97.3,100.72,95.7,99.91,94.42,99.3
2014,April,102.1,100.2,100.51,99.77,97.7,100.99,97.7,100.09,94.24,99.6
2014,May,102.3,100.22,100.38,99.8,97.8,100.95,98.1,100,94.15,99.6
2014,June,102.2,100.18,100.45,99.96,97.5,100.68,98,100.09,94.42,99.8
2014,July,101.4,99.86,99.76,98.94,98.3,100.63,98.1,100,94.68,99.6
2014,August,101,100.3,99.53,99.99,97.9,100.31,98.3,100.19,94.68,99.9
2014,September,101.8,99.92,100.1,99.9,98.5,100.44,98.5,99.81,94.68,100
2014,October,103.1,99.95,100.43,99.67,98.6,100.63,98.2,99.91,94.42,100.1
2014,November,103.9,99.78,100.22,99.44,98.6,100.43,97.9,99.72,94.42,99.9
2014,December,104.7,99.86,100.21,98.83,98.6,100.34,97.9,99.72,94.42,99.9
2015,January,100.8,98.86,98.79,98.19,98.6,100.77,97.8,99.35,93.44,99.2
2015,February,103.1,99.52,98.72,99.84,98.9,101.1,97.6,99.72,94.11,99.5
2015,March,103.9,100.17,100.58,99.98,99.2,101.51,97.9,99.81,94.58,99.6
2015,April,105,100.28,100.91,100.03,99.6,101.64,98.4,100,95.06,99.9
2015,May,105.6,100.52,101.34,100.45,99.8,102.12,98.7,100.09,95.25,100.1
2015,June,105.7,100.44,101.26,100.64,100.1,99.11,98.4,100.28,95.25,100.1
2015,July,105.2,100.03,100.52,99.58,100.1,98.95,98.3,100.19,95.44,100
2015,August,108.2,100.35,100.19,100.54,99.9,98.44,98.4,100.37,95.44,100.3
2015,September,109.5,99.95,100.98,100.38,100.6,98.7,98.5,100,95.25,100.2
2015,October,111.5,100.01,101.07,100.2,101,98.98,98.5,100.19,95.25,100.3
2015,November,112.7,99.82,100.87,100.26,101.3,99.29,98.1,99.81,94.58,100.3
2015,December,113.6,100.04,100.6,99.91,100.9,99.4,98.1,99.81,94.58,100.4
2016,January,100.66,99.08,99.56,98.71,101.5,98.63,97.7,99.6,93.92,99.9
2016,February,100.12,99.33,99.11,100.01,102.1,98.39,97.8,99.4,94.2,100.1
2016,March,100.12,100.02,101.03,100.03,102.5,98.49,97.9,99.6,94.87,100.4
2016,April,100.14,100.09,101.39,100.1,102.9,98.34,98.1,99.5,94.96,100.6
2016,May,100.32,100.5,101.67,100.42,103.2,98.59,98.2,99.8,95.44,100.8
2016,June,99.99,100.63,101.81,100.66,103.8,98.42,98.1,99.9,95.53,101
2016,July,99.08,100.25,101.14,99.55,104.5,98.18,97.9,100.1,95.91,100.9
2016,August,98.71,100.58,100.91,100.7,103.9,98.24,97.9,100.3,95.82,101.2
2016,September,99.3,100.34,101.61,100.75,104.2,98.14,98,100.1,95.82,101.5
2016,October,100.62,100.37,101.96,100.72,104.7,98.56,98.6,100,96.01,101.6
2016,November,101.85,100.35,101.45,100.8,104.9,98.62,98.6,99.9,95.34,101.8
2016,December,102.38,100.65,101.49,101.04,104.4,98.86,98.4,100.3,96.01,102.2
2017,January,101.23,100.41,100.89,100.39,104.3,98.68,98.2,100.6,95.44,101.8
2017,February,102.42,100.53,100.65,101.77,104.7,98.59,98.1,101,96.01,102.4
2017,March,102.83,101.17,102.42,101.78,105,98.67,98.1,101,96.2,102.7
2017,April,104.28,101.26,103.39,102.04,105.2,98.94,98.5,101.4,96.57,103.2
2017,May,105.26,101.31,103.15,102.12,105.4,99.22,98.6,101.2,96.57,103.5
2017,June,104.8,101.32,102.73,102.17,105.8,99.26,98.5,101.1,96.86,103.5
2017,July,103.83,100.97,102.05,101.46,106.1,99.57,98.3,101.2,97.24,103.5
2017,August,103.44,101.49,102.06,102.68,105.3,99.38,98.5,101.5,97.33,104
2017,September,104.39,101.33,103.02,102.52,105.9,99.87,98.8,101.2,97.43,104.3
2017,October,106,101.43,103.38,102.63,106,101.15,98.8,101,97.24,104.4
2017,November,106.76,101.53,103.02,102.35,106.1,101.81,99.1,100.8,96.86,104.7
2017,December,107.31,101.85,102.97,102.41,106.1,102.14,99.4,101.2,97.33,105
2018,January,100.01,101.75,101.93,101.53,106,102.94,99.5,101.5,96.76,104.5
2018,February,100.19,101.72,101.23,102.81,107,103.24,99.5,101.5,97.05,104.9
2018,March,100.3,102.75,103.12,102.9,107.3,103.54,99.2,101.8,97.62,105.1
2018,April,100.76,102.92,103.8,103.13,107.7,104.1,99.1,101.9,97.81,105.5
2018,May,100.79,103.36,104.23,103.48,107.8,104.59,99.3,102.2,98.57,105.9
2018,June,100.79,103.37,104.29,103.65,108.5,104.61,99.2,102.4,98.66,105.9
2018,July,99.61,103.28,103.66,102.94,109.3,104.11,99.2,102.7,99.04,105.9
2018,August,99.44,103.78,103.3,104.34,108.9,104.41,99.8,103.1,99.14,106.5
2018,September,99.59,103.56,104.46,104.58,109.5,104.9,99.9,102.6,99.33,106.6
2018,October,99.97,103.67,104.37,104.69,109.3,105.44,100.2,102.6,99.52,106.7
2018,November,100.4,103.45,103.9,104.66,109.8,105.3,100,102.4,98.85,106.9
2018,December,100.88,103.47,103.66,104.32,109.8,105.48,99.7,102.3,98.85,107.1
2019,January,101.28,103.01,102.41,103.4,109.3,106.36,99.7,102.4,98.09,106.4
2019,February,101.67,103.06,102.19,104.97,110.2,107.19,99.7,102.5,98.47,106.8
2019,March,102.22,103.89,104,105.14,110.4,107.72,99.7,102.8,98.85,107
2019,April,103.06,104.22,104.6,105.33,110.8,108.38,100,103,99.8,107.6
2019,May,104.48,104.33,104.66,105.62,110.5,108.88,100,103,99.99,107.9
2019,June,104.26,104.58,104.7,105.55,110.6,108.62,99.8,103.1,100.27,107.9
2019,July,104.04,104.38,103.33,104.83,111.4,108.4,99.8,103.1,100.75,108
2019,August,104.01,104.86,103.21,106.06,110.6,108.47,100,103.5,100.56,108.3
2019,September,104.88,104.5,104.35,105.9,111.1,108.56,100.1,102.9,100.56,108.4
2019,October,105.8,104.46,104.39,105.89,111.3,109.03,100.4,102.8,100.65,108.3
2019,November,106.62,104.52,104.23,105.93,111.6,109.27,100.5,102.6,99.89,108.5
2019,December,107.54,104.98,104.09,106.08,111.3,109.73,100.5,102.8,100.37,108.5
2020,January,100.63,104.54,103.23,105.4,111.3,110.18,100.5,102.9,99.8,108.3
2020,February,100.6,104.53,102.57,106.73,111.2,110.46,100.3,102.8,100.1,108.6
2020,March,100.7,104.59,104.04,106.04,111.2,111.01,100.3,102.9,100.3,108.6
2020,April,100.86,104.56,104.37,105.98,111.7,111.29,100.2,103,100.4,108.6
2020,May,101.08,104.71,103.91,105.82,111.9,111.34,100.1,102.8,100.4,108.6
2020,June,101.07,104.79,104.83,106.34,112.1,111.43,99.9,102.9,100.5,108.8
2020,July,100.84,105.19,103.48,105.82,112.9,111.44,100,102.7,99.7,109.2
2020,August,100.05,105.09,103.2,106.69,112.5,111.38,100.1,103,99.7,108.8
2020,September,99.79,104.55,104.2,106.62,112.9,111.22,99.9,102.3,99.7,109.2
2020,October,99.91,104.51,104.31,106.59,113.2,111.47,99.8,102.5,99.9,109.2
2020,November,100.07,104.73,104,106.37,112.4,111.61,99.5,102.4,99.7,109.1
2020,December,100.39,104.96,103.85,106.67,112.9,112,99.3,102.6,99.8,109.4
2021,January,100.46,105.12,103.54,107.38,114.1,113.48,99.8,103.3,101,109.3
2021,February,100.84,105.12,103.07,106.64,114.9,113.95,99.8,103.4,101.6,109.4
2021,March,101.8,105.75,104.52,108.14,114.6,114.39,99.9,103.7,102.1,109.7
2021,April,103.31,105.86,104.95,108.19,115,114.9,99.1,104.1,102.4,110.4
2021,May,103.81,106.2,105.2,108.5,114.9,115.52,99.4,104.1,102.6,111
2021,June,103.86,106.34,105.36,108.68,115.3,115.82,99.5,104.2,102.9,111.4
2021,July,103.95,106.4,104.99,108.26,116.3,116.95,99.7,104.7,103.4,111.4
2021,August,104.29,107.05,104.78,109.31,116.3,117.23,99.7,105.1,103.5,112.1
2021,September,106.04,106.81,105.74,109.47,117.5,118.22,100.1,104.9,103.8,112.4
2021,October,108.29,107.25,106.22,110.45,117.2,120.32,99.9,105.6,104.3,113.4
2021,November,112.08,107.64,106.69,111.18,118.1,120.32,100.1,106.2,104.5,114.1
2021,December,113.94,107.85,106.7,111.09,118.9,121.17,100.1,106.6,104.7,114.7
2022,January,102.77,108.12,107,111.22,117.8,122.96,100.3,108.3,105.2,114.6
2022,February,104.89,108.94,107.39,113.64,119.1,123.67,100.7,109.3,106,115.4
2022,March,109.15,110.49,110.09,114.78,119.8,126,101.1,110.4,108.1,116.5
2022,April,115.22,110.97,112.51,115.72,121.2,130.72,101.5,110.3,108.8,119
2022,May,117.57,111.72,113.61,115.87,121.5,132.26,101.8,111.2,109.8,119.7
2022,June,120.17,112.55,114.55,116.75,122.6,133.26,101.8,112.5,109.8,120.5
2022,July,121.84,112.87,114.51,115.58,124.2,134.44,102.3,113,110.3,121.2
2022,August,122.93,113.38,114.16,116.7,123.9,135.19,102.7,113.9,110.7,121.8
2022,September,124.69,112.74,115.56,117,125.6,136.99,103.1,114.2,112.7,122.3
2022,October,127.95,113.9,116.99,118.02,126,138.75,103.7,118.1,113.5,124.3
2022,November,129.26,114.26,117.29,117.78,125.8,140.48,103.9,118.7,113.7,124.8
2022,December,130.24,114.16,116.94,117.06,125.9,141,104.1,119,113.2,125.3
2023,January,100.45,,,,,,,,,
